NPD_WELL_BORE_NAME,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,ON_STREAM_HRS,WATER_CUT,GOR,OIL_PER_HR,KMeans_Cluster,Ward_Cluster
15/9-F-12,2012-02,27362.26,4289924.83,133954.93,688.75833,0.8303822425867943,156.78254756734276,39.72693876529958,0,0
15/9-F-12,2012-03,26679.88,4276185.92,142184.01,740.41666,0.8420036397361211,160.27755447175923,36.03360302562614,0,0
15/9-F-12,2012-04,24088.35,3866150.19,138112.43,710.29167,0.8514905415374697,160.4987552073928,33.913321832987286,0,0
15/9-F-12,2012-05,22415.15,3630958.27,140203.43,737.69167,0.8621611995382078,161.98679330720518,30.385526787905846,0,0
15/9-F-12,2012-06,20887.38,3394646.36,134081.24,711.33334,0.865215422322274,162.52140574835138,29.363701692936253,0,0
15/9-F-12,2012-07,21206.94,3444768.69,140164.53,744.0,0.868583089687415,162.43591437519981,28.503951612903226,0,0
15/9-F-12,2012-08,8998.24,1376155.08,55244.46,288.625,0.8599336578319404,152.93602748982025,31.176232135123428,0,0
15/9-F-12,2012-09,1013.9300000000001,156920.4,4513.08,26.99166,0.8165499971955903,154.76453009576596,37.564566240090464,0,0
15/9-F-12,2012-10,19612.85,3067585.4,121317.43,610.175,0.8608329593895648,156.40691689377118,32.14299176465768,0,0
15/9-F-12,2012-11,19018.88,3086439.76,134909.36,720.0,0.8764432049635597,162.28293989972067,26.415111111111113,0,0
15/9-F-12,2012-12,16320.65,2717290.03,131667.43,700.24999,0.8897164555415544,166.49398338914196,23.30689072912375,0,0
15/9-F-12,2013-01,17408.57,2881178.96,139783.93,744.0,0.8892531768373173,165.50348248018074,23.39861559139785,0,0
15/9-F-12,2013-02,15087.380000000001,2461248.52,126325.44,672.0,0.893309673055102,163.1329309661452,22.451458333333335,0,0
15/9-F-12,2013-03,6305.81,1053665.6199999999,57120.76,307.76833,0.9005809395021677,167.09441293029758,20.48882027595237,0,0
15/9-F-12,2013-04,12351.34,2055291.8599999999,102945.43,513.46573,0.8928734950684222,166.40233853168968,24.054847827916383,0,0
15/9-F-12,2013-05,16313.4,2757755.17,147164.69,732.05834,0.9002104808051037,169.04846138757097,22.28428952807231,0,0
15/9-F-12,2013-06,11899.57,2037219.83,112559.07,566.675,0.904389361799229,171.20112995679676,20.99893236864164,0,0
15/9-F-12,2013-07,11861.63,1919702.47,112172.58,581.275,0.9043680771619378,161.84137171704057,20.40622768913165,0,0
15/9-F-12,2013-08,15147.18,2354241.49,152994.91,687.97685,0.909914406321463,155.42440837172333,22.016990833339815,0,0
15/9-F-12,2013-09,9223.53,1446819.31,104678.41,589.985,0.9190221869794316,156.86177743228458,15.633499156758223,0,0
15/9-F-12,2013-10,8305.01,1283583.5,137534.62,680.0,0.9430538187734019,154.55532263055673,12.21325,0,0
15/9-F-12,2013-11,7170.56,1102962.23,122993.19,648.64167,0.9449112368074829,153.8181439106569,11.054732268434128,0,0
15/9-F-12,2013-12,7079.5199999999995,1101388.53,125859.26,633.4,0.9467460134657472,155.5738990779036,11.177012946005684,0,0
15/9-F-12,2014-01,4997.24,766195.72,87030.26,486.14168,0.9456984053679606,153.32377872585667,10.27939015638404,0,0
15/9-F-12,2014-02,6101.4,921967.01,110297.86,561.9,0.9475821409861197,151.10745238797654,10.858515750133476,0,0
15/9-F-12,2014-03,6835.66,1036071.18,127351.18,656.72426,0.9490586409218669,151.56856543479344,10.408721614761118,0,0
15/9-F-12,2014-04,5892.01,883605.0,141144.82,693.01833,0.9599283390426738,149.9666497511036,8.501954053653964,0,0
15/9-F-12,2014-05,3237.7,469664.0,88748.26,427.32999,0.9648022372109831,145.0610000926584,7.5765803378321275,0,0
15/9-F-12,2014-06,5751.2,846733.74,152034.68,707.33333,0.9635506041478489,147.227316038392,8.130820019466634,0,0
15/9-F-12,2014-07,5791.84,864045.93,152314.38,743.16667,0.9633674121106685,149.183321707782,7.793460382177797,0,0
15/9-F-12,2014-08,4448.49,704538.16,126629.09,593.36666,0.9660621595241536,158.3769234054702,7.497033958733036,0,0
15/9-F-12,2014-09,5062.59,803970.67,149375.78,685.83333,0.9672193509941862,158.8061980132699,7.38166224729848,0,0
15/9-F-12,2014-10,5385.61,833120.57,155365.68,745.0,0.9664972517483376,154.69381741344063,7.229006711409395,0,0
15/9-F-12,2014-11,4495.0599999999995,700998.22,114660.7,580.94167,0.9622757640923107,155.94857910684175,7.737541016811549,0,0
15/9-F-12,2014-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-12,2015-01,25712.55,3780459.43,11588.22,715.58333,0.3106697261209353,147.02779109812136,35.93229316842805,0,0
15/9-F-12,2015-02,19578.55,2960674.24,15115.5,622.79666,0.4356798932381777,151.2203018098889,31.436504492493587,0,0
15/9-F-12,2015-03,19341.43,2853432.83,19255.66,665.125,0.4988889058734739,147.52956890984794,29.079391091900018,0,0
15/9-F-12,2015-04,19796.56,2889394.96,20808.06,720.0,0.5124554792040905,145.9543961173052,27.495222222222225,0,0
15/9-F-12,2015-05,16996.48,2479620.4,25200.83,744.0,0.5972141352138324,145.89023138908763,22.844731182795698,0,0
15/9-F-12,2015-06,19536.3,2859707.1,32902.68,709.31667,0.6274469869551239,146.37915572549562,27.542423329766095,0,0
15/9-F-12,2015-07,19157.45,2846820.92,36480.53,744.0,0.6556767517440425,148.60124494648295,25.749260752688173,0,0
15/9-F-12,2015-08,13473.27,2047120.71,31629.02,636.68333,0.7012730395729352,151.93941114517855,21.16165032937175,0,0
15/9-F-12,2015-09,12494.51,1888048.66,35065.36,719.32486,0.7372888109239996,151.11026042637926,17.369773651365257,0,0
15/9-F-12,2015-10,11888.63,1821328.15,38151.12,738.66667,0.7624162790581488,153.19916172006361,16.094715631341536,0,0
15/9-F-12,2015-11,11369.48,1748311.35,37662.5,719.50001,0.7681211323711586,153.77232292066128,15.80191777898655,0,0
15/9-F-12,2015-12,10855.97,1662453.18,37288.0,731.33334,0.7745102865426345,153.13723048239817,14.844079171886241,0,0
15/9-F-12,2016-01,9494.98,1487340.06,38969.86,736.49999,0.8040851883551046,156.64488603451508,12.892030046056076,0,0
15/9-F-12,2016-02,7644.12,1205549.1,35253.46,695.58333,0.8218053326085061,157.7093373730397,10.989510056257386,0,0
15/9-F-12,2016-03,7359.93,1185893.56,40507.21,743.0,0.8462425371559696,161.12837486226093,9.905693135935397,0,0
15/9-F-12,2016-04,6152.17,1015034.36,37126.04,718.83333,0.85784601535045,164.98802211252288,8.558548613765586,0,0
15/9-F-12,2016-05,5865.13,925513.84,36147.78,740.5,0.8603969589347655,157.7993735859222,7.920499662390277,0,0
15/9-F-12,2016-06,5408.31,870533.4,34608.45,703.25833,0.8648488783199839,160.96218596936936,7.690360382933538,0,0
15/9-F-12,2016-07,4533.82,729319.16,29940.18,703.72593,0.8684858153971109,160.86195746633084,6.442593354489581,0,0
15/9-F-12,2016-08,1442.03,232557.71,10937.14,285.89167,0.8835115763011575,161.2710623218657,5.0439734742883555,0,0
15/9-F-12,2016-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-14,2008-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-14,2008-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-14,2008-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-14,2008-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-14,2008-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15/9-F-14,2008-07,51285.08,7538861.07,126.17,437.57,0.002454132120887938,146.9991090976167,117.20428731402976,1,1
